idx,word,occurrences
0,saturday,473
1,sunday,473
2,time,471
3,tonight,470
4,friday,451
5,come,446
6,amp,443
7,like,420
8,watch,417
9,today,395
10,not,367
11,play,340
12,new,336
13,good,336
14,one,335
15,theth,320
16,monday,302
17,love,299
18,last,279
19,make,271
20,rt,270
21,thursday,268
22,ha,262
23,look,247
24,show,242
25,want,242
26,got,241
27,hi,234
28,think,232
29,back,232
30,na,228
31,us,227
32,dont,215
33,wait,210
34,cant,210
35,know,208
36,win,206
37,morn,203
38,first,201
39,start,201
40,hope,196
41,sun,192
42,live,192
43,still,189
44,season,187
45,say,182
46,next,176
47,sat,175
48,take,174
49,tuesday,172
50,well,169
51,thest,169
52,big,168
53,work,166
54,ill,165
55,year,165
56,great,162
57,would,162
58,best,161
59,vs,158
60,wednesday,157
61,gon,156
62,need,153
63,miss,150
64,open,149
65,u,148
66,team,148
67,onli,141
68,world,140
69,even,138
70,parti,136
71,week,130
72,right,128
73,befor,127
74,ticket,123
75,happi,122
76,excit,121
77,lol,120
78,said,118
79,girl,117
80,meet,117
81,news,116
82,movi,114
83,guy,111
84,fan,110
85,better,110
86,talk,110
87,black,109
88,march,108
89,pm,105
90,thank,105
91,birthday,105
92,check,104
93,final,104
94,free,104
95,realli,102
96,call,101
97,place,101
98,novemb,100
99,let,99
100,thend,99
101,readi,99
102,man,98
103,set,98
104,footbal,97
105,tv,97
106,state,97
107,hous,96
108,end,95
109,sure,95
110,school,94
111,st,94
112,thing,93
113,peopl,92
114,bring,91
115,leagu,90
116,nov,90
117,home,90
118,way,89
119,citi,89
120,whi,88
121,weekend,87
122,might,86
123,pleas,85
124,w,84
125,head,84
126,much,84
127,v,83
128,tri,82
129,give,82
130,ever,82
131,club,82
132,becaus,82
133,award,81
134,also,81
135,concert,80
136,long,80
137,join,80
138,run,79
139,never,79
140,beat,79
141,oh,79
142,could,78
143,bowl,78
144,red,78
145,top,78
146,star,77
147,januari,76
148,therd,76
149,veri,76
150,famili,75
151,shit,75
152,london,74
153,octob,73
154,celebr,73
155,anoth,72
156,david,72
157,rememb,72
158,littl,71
159,find,71
160,made,71
161,friend,71
162,super,71
163,move,70
164,half,69
165,king,69
166,two,69
167,vote,69
168,atpm,69
169,oct,68
170,keep,68
171,martin,68
172,center,68
173,boy,68
174,cup,68
175,sinc,67
176,white,67
177,real,67
178,n,66
179,ive,66
180,lt,66
181,went,66
182,music,66
183,sign,65
184,everyon,65
185,nfl,65
186,via,65
187,film,65
188,ask,65
189,perform,65
190,left,64
191,follow,64
192,book,64
193,feel,64
194,event,64
195,song,64
196,ani,63
197,wont,63
198,wan,63
199,round,63
200,fun,63
201,life,63
202,fuck,63
203,lead,62
204,yesterday,62
205,x,62
206,anyon,62
207,wish,62
208,wed,61
209,player,61
210,forward,61
211,enjoy,61
212,bad,60
213,didnt,60
214,lot,60
215,knick,60
216,match,59
217,leav,58
218,pick,58
219,support,58
220,park,58
221,thought,58
222,hit,58
223,video,58
224,ye,57
225,tweet,57
226,name,57
227,releas,57
228,old,56
229,job,56
230,though,56
231,alreadi,56
232,everi,56
233,halloween,55
234,saw,55
235,nation,55
236,buy,55
237,class,55
238,hour,55
239,soon,55
240,plan,55
241,b,54
242,read,54
243,york,54
244,derbi,54
245,amaz,54
246,tour,54
247,late,53
248,id,53
249,band,53
250,chanc,53
251,hear,53
252,help,53
253,doe,53
254,sound,53
255,kid,52
256,obama,52
257,nba,52
258,pass,52
259,yet,52
260,earli,52
261,host,51
262,face,51
263,point,51
264,ladi,51
265,hey,51
266,report,51
267,william,51
268,haha,51
269,stop,51
270,lion,51
271,pretti,50
272,high,50
273,tell,50
274,break,50
275,cool,50
276,alway,50
277,episod,50
278,la,50
279,rock,50
280,race,49
281,mani,49
282,line,49
283,presid,49
284,valentin,49
285,done,48
286,till,48
287,score,48
288,goal,48
289,god,48
290,visit,48
291,listen,48
292,theatr,48
293,georg,48
294,true,47
295,yeah,47
296,august,47
297,train,47
298,februari,47
299,announc,47
300,mark,47
301,put,47
302,heat,47
303,grade,47
304,record,47
305,nice,47
306,album,47
307,close,47
308,seen,47
309,post,46
310,ta,46
311,doesnt,46
312,decemb,46
313,jan,46
314,brother,46
315,jason,46
316,michael,46
317,san,46
318,+,46
319,arsen,45
320,gone,45
321,th,45
322,turn,45
323,finish,45
324,young,45
325,luck,44
326,someth,44
327,guess,44
328,kick,44
329,bill,44
330,deal,44
331,cmon,44
332,catch,44
333,happen,44
334,interest,44
335,return,43
336,harri,43
337,west,43
338,busi,43
339,someon,43
340,practic,43
341,minut,43
342,festiv,43
343,avail,42
344,premier,42
345,dure,42
346,awesom,42
347,mean,42
348,bit,42
349,came,42
350,mayb,42
351,heard,42
352,begin,42
353,part,42
354,quarter,42
355,walk,42
356,date,41
357,hall,41
358,isnt,41
359,tom,41
360,rest,41
361,stay,41
362,found,41
363,choic,40
364,chang,40
365,must,40
366,use,40
367,cowboy,40
368,interview,39
369,schedul,39
370,elect,39
371,tiger,39
372,damn,39
373,forget,39
374,jame,39
375,hold,39
376,jet,39
377,son,39
378,dr,38
379,person,38
380,sleep,38
381,room,38
382,kill,38
383,photo,38
384,second,38
385,classic,38
386,rise,38
387,yall,38
388,act,38
389,blue,38
390,rugbi,38
391,carter,38
392,full,37
393,babi,37
394,mom,37
395,steeler,37
396,havent,37
397,believ,37
398,trip,37
399,championship,37
400,around,37
401,octoberth,37
402,colleg,37
403,america,36
404,dream,36
405,miami,36
406,novemberth,36
407,green,36
408,month,36
409,danc,36
410,nd,36
411,drive,35
412,p,35
413,town,35
414,comedi,35
415,afternoon,35
416,ball,35
417,offici,35
418,hand,35
419,hot,35
420,intern,35
421,present,35
422,unit,34
423,actual,34
424,far,34
425,ass,34
426,beauti,34
427,espn,34
428,lost,34
429,wear,34
430,coach,34
431,side,34
432,care,34
433,pictur,34
434,perfect,34
435,launch,34
436,feb,34
437,shot,33
438,die,33
439,card,33
440,away,33
441,jr,33
442,taylor,33
443,florida,33
444,fli,33
445,church,33
446,john,33
447,c,33
448,wonder,33
449,arriv,33
450,hell,33
451,hard,33
452,appl,33
453,fight,33
454,ami,32
455,fb,32
456,til,32
457,laker,32
458,jersey,32
459,sale,32
460,special,32
461,giant,32
462,test,32
463,wichita,32
464,ok,32
465,murray,32
466,jackson,32
467,rick,31
468,fri,31
469,shore,31
470,bay,31
471,tho,31
472,novth,31
473,anniversari,31
474,member,31
475,appear,31
476,sing,31
477,list,31
478,nick,31
479,injuri,31
480,justin,31
481,light,31
482,learn,31
483,grammi,31
484,washington,31
485,trayvon,31
486,ahead,30
487,throw,30
488,texa,30
489,cancel,30
490,caus,30
491,drop,30
492,steve,30
493,winner,30
494,seri,30
495,wow,30
496,hate,30
497,central,30
498,updat,30
499,stuff,30
500,countri,30
501,nigga,30
502,art,30
503,uk,30
504,ghost,30
505,north,30
506,onth,29
507,air,29
508,anyth,29
